216.43,42.791,13.967,-5.947,-53.688
214.43,47.514,21.873,-2.994,-95.087
200.41,47.878,16.137,1.483,-82.403
187.26,39.753,9.426,-51.887,-88.78
172.84,35.383,20.163,30.615,-75.571
161.59,43.816,17.618,59.323,-96.931
160.57,51.022,8.502,38.672,-83.118
177.82,51.693,7.797,-39.315,-72.888
162.05,61.304,13.506,-73.223,-72.274
185.33,48.486,26.555,-44.855,-26.367
163.26,42.526,25.073,-154.4,25.8
180.41,37.572,36.731,-260.73,72.392
201.77,25.937,31.757,-138.5,94.438
179.08,11.984,19.852,-178.83,72.845
207.33,9.965,35.414,-211.67,3.739
216.74,22.256,34.056,-225.35,-7.611
231.25,4.314,37.945,-167.83,36.766
229.8,2.621,37.873,-109.3,5.516
222.72,17.287,34.466,-60.554,-25.835
231.23,8.762,19.519,11.658,-90.163
198.48,31.424,15.692,207.49,44.127
198.39,40.243,23.926,172.07,84.972
206.72,47.319,22.251,105.47,101.4
190.53,47.849,12.071,101.29,107.11
219.16,67.725,15.179,129.6,69.88
216.48,71.611,14.721,126.88,99.903
200.04,78.423,6.523,195.47,107.77
187.89,70.766,0.382,185.34,92.913
170.8,88.891,12.819,81.064,104.46
152.03,100.58,8.079,138.82,84.992
119.21,82.483,24.682,101.74,30.705
126.58,73.949,23.689,47.718,-14.644
129.26,70.907,19.466,19.333,-12.06
130.73,66.026,21.212,119.36,4.949
142.42,59.689,26.04,79.935,-14.659
146.37,63.002,33.518,164.96,16.879
158.11,68.884,29.038,184.78,3.665
155.94,71.803,36.36,101.33,15.038
137.13,64.127,34.233,87.67,82.591
158.31,52.897,37.946,80.455,66.073
156.83,49.945,37.941,134.19,14.925
170.77,49.055,28.438,236.28,3.796
171.05,48.205,27.635,247.35,1.271
188.1,54.482,34.529,215.46,27.706
204.17,57.177,36.255,106.2,18.214
208.49,53.918,35.651,255.92,18.794
236.46,57.067,36.41,118.99,-3.512
234.2,56.655,33.006,-49.646,-8.356
239.41,52.769,38.63,-147.67,-22.439
222.92,74.675,29.244,-50.047,-57.312
223.59,79.876,26.742,-18.242,-52.73
221.06,81.055,22.518,-32.381,-53.325
230.05,80.585,17.623,-89.949,-96.999
202.76,83.286,33.003,-70.099,-25.69
199.89,92.271,28.22,-63.182,-44.436
187.08,97.394,35.865,-62.2,-74.219
186.01,93.247,30.519,-110.41,-76.594
166.28,84.056,32.291,-111.58,-41.939
175.04,87.704,24.451,-172.48,16.127
182.51,87.245,14.932,-224.29,51.452
185.16,78.008,16.422,-239.32,18.864
169.43,65.803,21.54,-152.22,59.921
179.07,67.577,20.409,-129.66,101.64
166.21,56.78,15.464,-236.74,61.639
171.04,38.571,9.708,-133.46,58.794
158.6,36.096,13.54,-132.99,99.556
131.28,30.225,29.043,-167.96,41.091
117.51,27.521,38.6,-170.82,79.564
121.44,28.445,29.118,-142.06,100.62
137.05,18.039,37.338,-126.73,93.408
145.77,19.558,28.799,-138.86,91.833
151.49,36.218,38.883,-148.95,33.539
167.44,20.775,25.987,-30.744,-14.675
157.61,29.599,29.427,31.384,-15.886
154.64,38.618,31.652,17.726,-32.84
138.66,44.196,34.485,-57.752,-70.625
120.91,49.939,34.205,-79.303,-11.122
108.33,39.03,30.796,-73.285,7.117
104.92,38.744,38.207,-54.544,-13.159
97.052,30.723,37.073,-21.25,-46.718
96.559,18.548,33.394,45.469,-27.813
97.19,17.704,22.432,57.358,-62.822
113.33,16.209,31.626,-12.686,-84.417
131.63,16.858,19.262,18.963,-66.262
129.65,3.088,27.156,10.647,-97.013
145.74,7.218,36.066,76.723,-87.01
122.66,2.831,38.625,0.508,-36.961
